"ID";"year";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12"
"METIKALOV";1910;51,93;135,61;26,72;66,26;24,56;101,36;103,81;41,67;54,75;18,56;46,45;17,96
"METIKALOV";1911;45,63;29,61;23,18;41,76;63,75;103,45;87,13;45,36;62,56;20,72;73,04;68,65
"METIKALOV";1912;20,65;58,57;41,27;32,42;68,76;40,43;24,49;32,63;74,97;24,34;99,75;55,31
"METIKALOV";1913;56,21;36,47;49,84;34,71;47,76;125,54;51,37;121,72;67,18;41,53;43,91;63,49
"METIKALOV";1914;58,97;24,18;42,14;27,05;57,19;113,07;67,28;25,04;39,95;22,54;46,86;49,89
"METIKALOV";1915;37,51;14,36;91,51;31,27;60,7;62,66;115,75;52,95;75,92;47,84;49,2;85,34
"METIKALOV";1916;75,85;22,42;82,42;52,11;47,19;41,49;61,82;82,37;62,43;81,61;32,89;34,57
"METIKALOV";1917;70,21;64,27;44,66;30,89;58,14;121,3;55,14;58,01;41,05;37,2;46,47;67,05
"METIKALOV";1918;65,67;10,22;52,8;65,1;57,05;22,89;24,39;75,99;35,18;60,83;18,53;106,65
"METIKALOV";1919;60,15;47,35;16,56;57,65;20,8;35,28;69,71;67,37;24,67;51,61;34,95;40,55
"METIKALOV";1920;21,08;26,56;46,55;61,92;24,26;49,28;32,33;41,48;37,12;66,06;21;99,65
"METIKALOV";1921;113,07;18,29;24,07;74,46;85,86;57,25;63,97;67,75;45,55;6,85;95,41;82,35
"METIKALOV";1922;84,52;36,98;7,74;27,9;79,67;59,73;22,45;68,12;11,38;55,21;4,42;61,15
"METIKALOV";1923;60,62;50,14;54,53;68,58;17,61;52,18;74,8;99,2;59,49;56,26;26,94;44,26
"METIKALOV";1924;90,99;36,1;27,93;41,37;61,03;61,7;49,24;28,13;30,02;106,16;76,2;76,63
"METIKALOV";1925;26,39;75,5;45,26;36,2;72,6;77,49;76,38;109,94;42,4;46,79;31,45;68,66
"METIKALOV";1926;37,2;32,48;63,76;46,68;40,31;43,37;91,85;90,11;37,63;71,72;27,82;17,56
"METIKALOV";1927;53,56;72,45;78,63;34,15;83,99;165,93;132,81;63,64;37,01;78,09;36,28;88,33
"METIKALOV";1928;53,1;23,12;75,84;116,37;39,99;94,21;96,42;79,15;70,47;23,91;33,4;59,23
"METIKALOV";1929;54,72;53,84;28,19;82,28;35,14;50,86;39,16;67,6;32,07;31,1;57,34;23,13
"METIKALOV";1930;41,92;35,1;11,69;44,15;42,03;61,93;54,65;47,62;26,32;69,11;81,55;49,3
"METIKALOV";1931;37,74;8,5;28,25;88,53;114,12;36,56;78,55;86,72;39,09;115,09;25,17;71,11
"METIKALOV";1932;66,4;50,15;34,06;60,97;54,29;51,93;111,38;123,04;59,9;41,19;103,34;36,22
"METIKALOV";1933;46,52;22,76;20,95;30,91;104,12;74,99;126,72;56,4;43,58;78,58;12,75;65,38
"METIKALOV";1934;28;47,03;16,9;35,45;44,38;99,69;58,5;56,42;23,12;35,46;44,31;8,66
"METIKALOV";1935;38,03;46,97;19,62;43,72;17,84;50,42;35,41;103,87;14,42;56,49;34,81;23,8
"METIKALOV";1936;39,53;63,59;33,47;87,28;45,17;33,66;28,51;39,08;43,75;114,4;52,79;45,06
"METIKALOV";1937;42,86;57,19;18,98;51,77;107,22;57,35;117,68;56,25;73,71;49,66;30,86;32,36
"METIKALOV";1938;53,23;69,34;36,22;45,32;66,49;62,37;72,55;56,72;52,18;40,92;45,23;39,24
"METIKALOV";1939;76,28;45,21;23,1;39,32;103,24;34,19;72,47;99,35;22,78;56,42;30,65;39
"METIKALOV";1940;39,9;36,14;72,62;27,44;75,76;101,9;97,36;57,25;89,04;82;45,28;51,54
"METIKALOV";1941;23,64;25,49;104;21,32;85,18;81,18;124,57;87,29;82,4;45,62;93,87;79,21
"METIKALOV";1942;65,85;38,38;65,34;97,41;77,01;70,18;77,15;102,51;41,7;138,5;80,78;82,63
"METIKALOV";1943;31,37;33,91;28,18;25,17;51,11;24,68;88,65;37,05;73,48;71,29;49,94;93,21
"METIKALOV";1944;51,99;33,5;15,81;84,72;32,18;110,61;30,98;65,23;68,66;1,83;70,2;25,98
"METIKALOV";1945;98,85;91,23;128;44,01;52,56;92,77;81,24;23,58;55,12;51,87;48;39,23
"METIKALOV";1946;47,24;67,72;47,94;52,18;102,5;84,99;96,25;118,42;49,7;66,91;86,52;50,7
"METIKALOV";1947;48,93;123,8;32,48;12,76;60,39;134,44;117,29;54,22;45,83;77,97;50,89;46,76
"METIKALOV";1948;41,64;52,15;68,65;45,1;32,45;65,34;59,18;8,8;23,17;16,64;22,07;32,35
"METIKALOV";1949;96,85;133,12;40,04;21,15;54,18;49,74;111,56;118,13;8,77;17,51;128,34;148,81
"METIKALOV";1950;58,27;38,62;71,29;64,02;107,43;86,49;33,24;75,13;55,66;10,87;16,38;10,68
"METIKALOV";1951;66,72;63,87;13,96;56,69;80,88;36,79;86,6;70,15;81,3;43,57;27,23;55,7
"METIKALOV";1952;65,5;32,82;43,4;33,94;44,98;92,6;54,42;78,31;31,92;4,06;77,18;41,73
"METIKALOV";1953;53,94;40,61;85,77;31,95;66,14;41,17;20,25;54,95;119,01;83,13;52,93;31,65
"METIKALOV";1954;57,59;51,99;17,92;30,3;47,23;145,57;72,61;22,64;30,21;32,97;79,91;32,74
"METIKALOV";1955;59,82;12,02;27,5;84,28;43,72;60,34;222,54;82,31;126,3;53,95;12,06;25,87
"METIKALOV";1956;44,43;56,45;39,32;78,2;43,14;69,33;190,22;89,44;55,69;44,46;31,56;86,6
"METIKALOV";1957;36,03;38,97;63,95;52,17;44,11;101,17;87,46;66,65;23,86;78,6;34,27;90,17
"METIKALOV";1958;44,06;76,01;67,36;40,3;36,36;46,59;184,02;66,53;85,67;9,09;73,78;51,02
"METIKALOV";1959;59,93;77,9;48,53;40,61;78,79;79,9;107,76;45,99;61,07;102,77;44;36,57
"METIKALOV";1960;48,89;23,47;17,95;69,78;82,93;41,81;39,74;56,71;1,37;45,96;22,74;61,34
"METIKALOV";1961;28,19;55,58;41,54;60,37;67,33;96,32;72,35;55,58;36,29;43,02;33,67;53,18
"METIKALOV";1962;42,34;57,63;48,04;37,43;65,96;34,46;61,74;30,01;39,83;13,01;12,1;53,98
"METIKALOV";1963;23,97;24,65;33,67;35,38;71,55;153,61;86,16;63,79;93,01;25,79;73,15;8,9
"METIKALOV";1964;26,82;29,21;33,78;30,01;45,99;53,86;33,55;77,72;23,74;56,72;51,47;23,97
"METIKALOV";1965;53,75;33,78;49,53;80;178,71;102,71;119,83;24,99;100,08;14,38;95,06;93,92
"METIKALOV";1966;33,32;59,57;61,62;59,57;44,74;144,48;88,1;117,32;13,58;73,04;28,3;100,08
"METIKALOV";1967;47,02;60,6;60,48;19,97;94,15;85,48;75,66;71,1;96,09;26,82;18,6;92,89
"METIKALOV";1968;86,27;32,64;35,26;65,62;45,88;65,85;57,74;127,13;89,7;54,09;56,15;26,13
"METIKALOV";1969;18,94;30,36;57,52;74,29;26,82;89,58;38,92;70,53;57,74;18,6;64,93;24,65
"METIKALOV";1970;27,16;104,19;55,46;72,01;59,8;54,44;66,87;161,37;25,11;72,69;54,78;49,07
"METIKALOV";1971;21,23;21,8;33,21;24,76;112,29;120,97;7,76;67,9;36,29;32,52;65,28;35,61
"METIKALOV";1972;12,32;18,72;33,32;49,98;82,17;55,46;105,56;33,09;59,57;15,63;48,62;7,65
"METIKALOV";1973;21;43,71;12,9;54,89;30,24;80;81,14;9,81;9,59;61,4;40,63;56,15
"METIKALOV";1974;36,06;42,11;28,64;13,35;77,26;98,83;66,3;72,58;56,15;90,95;50,78;113,21
"METIKALOV";1975;37,2;25,91;60,94;31,15;58,32;121,42;40,51;74,18;72,12;34,01;56,83;18,26
"METIKALOV";1976;151,44;20,88;21,57;23,05;40,74;28,64;83,08;40,28;49,07;31,84;47,47;30,58
"METIKALOV";1977;34,01;54,44;47,7;51,7;49,53;53,52;71,55;122,57;67,45;45,19;93,81;53,18
"METIKALOV";1978;45,19;21,91;41,08;24,42;177,8;65,62;51,81;112,41;88,21;31,04;7,53;92,21
"METIKALOV";1979;46,9;54,09;53,86;46,68;20,09;98,49;49,98;48,96;123,93;23,17;52,61;94,26
"METIKALOV";1980;49,64;58,89;42,57;70,75;35,03;69,39;135,69;42,45;47,02;62,08;38,23;36,4
"METIKALOV";1981;95,75;42,22;91,07;47,36;63,11;21,91;177;103,16;45,53;146,07;81,82;78,06
"METIKALOV";1982;62,31;6,05;29,9;27,5;49,76;60,94;74,52;84,91;14,15;65,51;22,03;71,21
"METIKALOV";1983;89,93;40,17;36,06;57,63;89,93;58,66;29,67;148,13;40,51;19,06;48,73;20,66
